Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations
65761,Coco Bambu Brasília Shopping,3,5,2017-11-1,2017-11-10,"Bom atendimento, boa comida e ambiente legal! Fica perto dos hotéis da zona norte. Vale a vinda! 👍👍👍",Muito bom!,isadoramadalosso,"('Bom atendimento, boa comida e ambiente legal! Fica perto dos hotéis da zona norte. Vale a vinda! 👍👍👍', {'entities': [(30, 38, 'AMBIENTE'), (21, 27, 'COMIDA'), (4, 15, 'SERVIÇO'), (71, 81, 'LOCALIZAÇÃO')]})"
187913,Coco Bambu Anhembi,0,5,2018-2-1,2018-2-21,"Lugar delicioso,comida nota 1000 ambiente familiar, atendimento incrível, todos os funcionários atenciosos e carinhosos super recomendo garçom Ronaldo super educado,simpático, atenção nota 10!!!",Dez anos juntos,MARCIO o,"('Lugar delicioso,comida nota 1000 ambiente familiar, atendimento incrível, todos os funcionários atenciosos e carinhosos super recomendo garçom Ronaldo super educado,simpático, atenção nota 10!!!', {'entities': [(33, 41, 'AMBIENTE'), (0, 5, 'GERAL'), (16, 22, 'COMIDA'), (52, 63, 'SERVIÇO'), (143, 150, 'SERVIÇO')]})"
33116,Coco Bambu Bahia,1,4,2017-3-1,2017-3-5,"Já fui em várias unidades do restaurante. O que mais me impressiona é o padrão alcançado em todas. Gosto muito do serviço, e acho a comida impecável. Único defeito é que em Salvador achei que demorou bem mais para chegar o prato, quando comparado com...Mais",O padrão coco bambu,stealana,"('Já fui em várias unidades do restaurante. O que mais me impressiona é o padrão alcançado em todas. Gosto muito do serviço, e acho a comida impecável. Único defeito é que em Salvador achei que demorou bem mais para chegar o prato, quando comparado com...Mais', {'entities': [(29, 40, 'GERAL'), (132, 138, 'COMIDA'), (223, 228, 'COMIDA'), (114, 121, 'SERVIÇO'), (173, 181, 'LOCALIZAÇÃO')]})"
149118,Coco Bambu Lago Sul,1,5,2016-4-1,2016-4-20,"O local é bem agradável e dependendo da mesa tem uma linda vista! O atendimento é correto e o ponto alto na minha avaliação é a qualidade e quantidade de alguns pratos, o Camarão Internacional por exemplo serve 4 pessoas tranquilamente e é delicioso!",Quantidade e qualidade!,Antonio Carlos M,"('O local é bem agradável e dependendo da mesa tem uma linda vista! O atendimento é correto e o ponto alto na minha avaliação é a qualidade e quantidade de alguns pratos, o Camarão Internacional por exemplo serve 4 pessoas tranquilamente e é delicioso!', {'entities': [(2, 7, 'GERAL'), (59, 64, 'GERAL'), (161, 167, 'COMIDA'), (171, 192, 'COMIDA'), (68, 79, 'SERVIÇO')]})"
54835,Coco Bambu,0,5,2021-11-1,2021-11-14,"Comida maravilhosa, atendimento diferenciado! SEMPRE fomos muito bem recebidos e é sempre a melhor opção para frutos do mar principalmente. Não tem erro!  Feche os olhos e peça, sem medo e seja feliz!   Experimentem a Caipi Coco Frozen no Coco é surreal de Bom!   Recomendo...Mais",Excelente em todos os aspectos!,aliinetavares,"('Comida maravilhosa, atendimento diferenciado! SEMPRE fomos muito bem recebidos e é sempre a melhor opção para frutos do mar principalmente. Não tem erro!  Feche os olhos e peça, sem medo e seja feliz!   Experimentem a Caipi Coco Frozen no Coco é surreal de Bom!   Recomendo...Mais', {'entities': [(0, 6, 'COMIDA'), (110, 123, 'COMIDA'), (218, 235, 'BEBIDA'), (20, 31, 'SERVIÇO')]})"
14699,Coco Bambu Anhembi,0,4,2017-4-1,2017-4-22,"Já provei alguns pratos, mas meu favorito é o camarão internacional. Muito bem servido mas a comida é pesada.",Bem servido,mo_santana,"('Já provei alguns pratos, mas meu favorito é o camarão internacional. Muito bem servido mas a comida é pesada.', {'entities': [(17, 23, 'COMIDA'), (46, 67, 'COMIDA'), (93, 99, 'COMIDA')]})"
27870,Coco Bambu Anália Franco,0,5,2019-6-1,2019-6-27,Excelente atendimento do nosso amigo Sousa noite esplêndida comida divina ambiente muito agradável recomendo,Jantar,Marcoalexandre12,"('Excelente atendimento do nosso amigo Sousa noite esplêndida comida divina ambiente muito agradável recomendo', {'entities': [(74, 82, 'AMBIENTE'), (60, 66, 'COMIDA'), (10, 21, 'SERVIÇO'), (37, 42, 'SERVIÇO')]})"
405,Coco Bambu Lago Sul,0,5,2017-10-1,2017-10-13,ótimo atendimento garçom Eliomario!! boa indicação e comida excelente. extremamente bem atendido......,excelente opção de almoço,André M,"('ótimo atendimento garçom Eliomario!! boa indicação e comida excelente. extremamente bem atendido......', {'entities': [(53, 59, 'COMIDA'), (6, 17, 'SERVIÇO'), (25, 34, 'SERVIÇO')]})"
46236,Coco Bambu Brasília Shopping,0,5,2021-2-1,2021-2-27,"Atendimento excelente!! Garçom Domingos muito prestativo, atencioso!! Voltaremos com certeza com a família completa!!",Excelente atendimento!,Brunomac1981,"('Atendimento excelente!! Garçom Domingos muito prestativo, atencioso!! Voltaremos com certeza com a família completa!!', {'entities': [(0, 11, 'SERVIÇO'), (31, 39, 'SERVIÇO')]})"
32963,Coco Bambu São Luís,0,5,2018-10-1,2018-10-24,"No de São Luís é a primeira vez que fui e amei. Como sempre a qualidade da comida e bebida é maravilhoso, Terminei minha estadia na cidade com chave de ouro. Comi uma casquinha de carangueijo e depois camarão na moranga divino só não aceitamos...Mais",delícia,490Neila,"('No de São Luís é a primeira vez que fui e amei. Como sempre a qualidade da comida e bebida é maravilhoso, Terminei minha estadia na cidade com chave de ouro. Comi uma casquinha de carangueijo e depois camarão na moranga divino só não aceitamos...Mais', {'entities': [(75, 81, 'COMIDA'), (167, 191, 'COMIDA'), (201, 219, 'COMIDA'), (84, 90, 'BEBIDA'), (6, 14, 'LOCALIZAÇÃO')]})"
