Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations
94616,Coco Bambu Meireles,0,5,2015-12-1,2016-1-15,"Show! muito gostoso, atendimento de 1ª e preço bom! O restaurante tem várias cozinhas, pizza, peixes e etc...Ahh e estacionamento!",MARAVILHOSO!!,ANNICKFLN,"('Show! muito gostoso, atendimento de 1ª e preço bom! O restaurante tem várias cozinhas, pizza, peixes e etc...Ahh e estacionamento!', {'entities': [(54, 65, 'GERAL'), (115, 129, 'GERAL'), (87, 92, 'COMIDA'), (94, 100, 'COMIDA'), (21, 32, 'SERVIÇO'), (41, 46, 'PREÇO')]})"
145079,Coco Bambu Ribeirao Preto,0,4,2019-3-1,2019-3-12,"Restaurante maravilhoso, comida de qualidade, ótimo ambiente e música aconchegante, arquitetura está de parabéns!!! Ótima carta de vinhos com uma adega linda!  Mas no atendimento acredito que falta um pouco mais de treinamento e vontade, os garçons são meio travados. Mas voltarei...",Comida muito boa,mariacarmo2016,"('Restaurante maravilhoso, comida de qualidade, ótimo ambiente e música aconchegante, arquitetura está de parabéns!!! Ótima carta de vinhos com uma adega linda!  Mas no atendimento acredito que falta um pouco mais de treinamento e vontade, os garçons são meio travados. Mas voltarei...', {'entities': [(52, 60, 'AMBIENTE'), (0, 11, 'GERAL'), (63, 69, 'GERAL'), (25, 31, 'COMIDA'), (122, 137, 'BEBIDA'), (167, 178, 'SERVIÇO')]})"
106374,Coco Bambu Porto Alegre,0,5,2021-4-1,2021-4-22,"O atendimento do Brad foi excepcional, super atencioso e carismático. Os pratos estavam deliciosos, no ponto certo, temperatura certa e tempero perfeitos. Ambiente aconchegante e seguindo todas as normas de higienização, disponibilizam pequenos sacos para colocar sua máscara e mesas contém álcool em gel.",Experiência Maravilhosa,nandozago,"('O atendimento do Brad foi excepcional, super atencioso e carismático. Os pratos estavam deliciosos, no ponto certo, temperatura certa e tempero perfeitos. Ambiente aconchegante e seguindo todas as normas de higienização, disponibilizam pequenos sacos para colocar sua máscara e mesas contém álcool em gel.', {'entities': [(155, 163, 'AMBIENTE'), (73, 79, 'COMIDA'), (2, 13, 'SERVIÇO'), (17, 21, 'SERVIÇO')]})"
691,Coco Bambu Ribeirao Preto,0,5,2016-8-1,2016-8-13,"Fomos com família e amigos, todos adoramos!!! Comida deliciosa!!! Ótimo atendimento!!! Pratos bem servidos!!! Excelente custo-benefício!!!",Delicioso!!!,X2715PSsanl,"('Fomos com família e amigos, todos adoramos!!! Comida deliciosa!!! Ótimo atendimento!!! Pratos bem servidos!!! Excelente custo-benefício!!!', {'entities': [(46, 52, 'COMIDA'), (87, 93, 'COMIDA'), (72, 83, 'SERVIÇO'), (120, 135, 'PREÇO')]})"
53343,Coco Bambu Sul Restaurante,1,5,2019-10-1,2019-10-13,"O restaurante é excelente. Comida boa, música maravilhosa, fui atendida pelo Baiano (garçom extremamente atencioso) e o maitre Moura também super gentil.",Ótimo atendimento.,Tamara C,"('O restaurante é excelente. Comida boa, música maravilhosa, fui atendida pelo Baiano (garçom extremamente atencioso) e o maitre Moura também super gentil.', {'entities': [(2, 13, 'GERAL'), (39, 45, 'GERAL'), (27, 33, 'COMIDA'), (77, 83, 'SERVIÇO'), (127, 132, 'SERVIÇO')]})"
155836,Coco Bambu Market Place,2,5,2017-10-1,2018-8-30,"Todos os pratos excelentes, clima agradável. O atendimento ótimo, Rodrigo Sandes nos atendeu muito bem, nos apresentou um maravilhoso prato.  Concerteza meu restaurante preferido.",Jantar de noivado ,721marianafaust9,"('Todos os pratos excelentes, clima agradável. O atendimento ótimo, Rodrigo Sandes nos atendeu muito bem, nos apresentou um maravilhoso prato.  Concerteza meu restaurante preferido.', {'entities': [(157, 168, 'GERAL'), (9, 15, 'COMIDA'), (134, 139, 'COMIDA'), (47, 58, 'SERVIÇO'), (66, 80, 'SERVIÇO')]})"
82219,Coco Bambu Vila Velha,0,5,2016-7-1,2016-7-15,"Sem dúvida já é a melhor opção para se comer frutos do mar no Espírito Santo! Além da comida ser maravilhosa, o atendimento e ambiente são impecáveis. Não deixe de experimentar o camarão com crosta de pão de alho, sensacional!",Chegou arrebentando!,pedrof92,"('Sem dúvida já é a melhor opção para se comer frutos do mar no Espírito Santo! Além da comida ser maravilhosa, o atendimento e ambiente são impecáveis. Não deixe de experimentar o camarão com crosta de pão de alho, sensacional!', {'entities': [(126, 134, 'AMBIENTE'), (45, 58, 'COMIDA'), (86, 92, 'COMIDA'), (179, 212, 'COMIDA'), (112, 123, 'SERVIÇO'), (62, 76, 'LOCALIZAÇÃO')]})"
127765,Coco Bambu Uberlândia,0,5,2021-9-1,2021-9-17,"Cida nos atendeu muito bem, de prontidão para qualquer necessidade, deu dica de petiscos e bebidas que acatamos e estavam excelentes, muito atenciosa e prestativa. Completou nossa experiência que por muitas vezes ja tinha deixado a desejar no coco",Jantar - sexta feira,Flávia B,"('Cida nos atendeu muito bem, de prontidão para qualquer necessidade, deu dica de petiscos e bebidas que acatamos e estavam excelentes, muito atenciosa e prestativa. Completou nossa experiência que por muitas vezes ja tinha deixado a desejar no coco', {'entities': [(80, 88, 'COMIDA'), (91, 98, 'BEBIDA'), (0, 4, 'SERVIÇO')]})"
81883,Coco Bambu SP Market,0,5,2019-7-1,2019-7-12,"Ótimo atendimento, tempo de espera e refeição. Lugar maravilhoso para curtir com a família ou em casal.",Jantar de sexta,Gabriella B,"('Ótimo atendimento, tempo de espera e refeição. Lugar maravilhoso para curtir com a família ou em casal.', {'entities': [(47, 52, 'AMBIENTE'), (6, 17, 'SERVIÇO')]})"
62851,Coco Bambu Restaurante,0,4,2019-3-1,2019-4-2,"Muito gostosa a comida, atendimento impecável, muito confortável. Sempre tem algumas promoções. Vale muito a pena conhecer.",Restaurante muito bom,Mauro S,"('Muito gostosa a comida, atendimento impecável, muito confortável. Sempre tem algumas promoções. Vale muito a pena conhecer.', {'entities': [(16, 22, 'COMIDA'), (24, 35, 'SERVIÇO'), (85, 94, 'PREÇO')]})"
148843,Coco Bambu,0,4,2017-2-1,2017-2-15,"Fácil estacionamento, atendimento rápido, boa comida, ambiente muito agradável e preço dentro da expectativa.",Jantar de Nogocios,ClaudioO840,"('Fácil estacionamento, atendimento rápido, boa comida, ambiente muito agradável e preço dentro da expectativa.', {'entities': [(54, 62, 'AMBIENTE'), (6, 20, 'GERAL'), (46, 52, 'COMIDA'), (22, 33, 'SERVIÇO'), (81, 86, 'PREÇO')]})"
