Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations
47374,Coco Bambu Lago Sul,0,5,2015-8-1,2015-8-12,Pratos bem servidos com um sabor especial em um ambiente acolhedor. Excelente para comemorações e confraternizações.,Frutos do mar da melhor qualidade!,Leotorelly,"('Pratos bem servidos com um sabor especial em um ambiente acolhedor. Excelente para comemorações e confraternizações.', {'entities': [(48, 56, 'AMBIENTE'), (0, 6, 'COMIDA')]})"
7009,Coco Bambu Frutos do Mar,0,4,2018-7-1,2018-8-22,"ambiente do lounge maravilhoso.  Tivemos um probleminha no drink, mas fora isso ambiente e atendimento excelente.",Vale Night,Jefferson O,"('ambiente do lounge maravilhoso.  Tivemos um probleminha no drink, mas fora isso ambiente e atendimento excelente.', {'entities': [(0, 8, 'AMBIENTE'), (12, 18, 'AMBIENTE'), (80, 88, 'AMBIENTE'), (59, 64, 'BEBIDA'), (91, 102, 'SERVIÇO')]})"
13345,Coco Bambu Campinas,1,3,2017-8-1,2017-9-20,"Estivemos em um jantar de familia, seis pessoas, todos pediram um único prato e eu diferente, por ser vegetariana. O único prato dos demais veio errado, depois substituíram e era gostoso. As opções vegetarianas são poucas e sem graça, praticamente comida de doente. Fiquei decepciona,...Mais","Bonito, mas deixou a desejar",Lívia Z,"('Estivemos em um jantar de familia, seis pessoas, todos pediram um único prato e eu diferente, por ser vegetariana. O único prato dos demais veio errado, depois substituíram e era gostoso. As opções vegetarianas são poucas e sem graça, praticamente comida de doente. Fiquei decepciona,...Mais', {'entities': [(72, 77, 'COMIDA'), (123, 128, 'COMIDA'), (191, 210, 'COMIDA'), (248, 254, 'COMIDA')]})"
41959,Coco Bambu - Dom Pastel,0,4,2016-3-1,2016-4-17,"Boa refeição , comida na balança com preço razoável, boa variedade e gostosa, seria uma filial do famoso restaurante coco bambu conforme me informaram, vale a pena.",Boa refeição,D5333WZmarcop,"('Boa refeição , comida na balança com preço razoável, boa variedade e gostosa, seria uma filial do famoso restaurante coco bambu conforme me informaram, vale a pena.', {'entities': [(105, 127, 'GERAL'), (4, 12, 'COMIDA'), (15, 21, 'COMIDA'), (37, 42, 'PREÇO')]})"
3289,Coco Bambu,0,5,2018-9-1,2018-9-10,Comida e drinks muito bons e bem servidos. Ambiente agradável com música de qualidade. Recomendo!!!!,Aniversário ,Leonardo S,"('Comida e drinks muito bons e bem servidos. Ambiente agradável com música de qualidade. Recomendo!!!!', {'entities': [(43, 51, 'AMBIENTE'), (66, 72, 'AMBIENTE'), (0, 6, 'COMIDA'), (9, 15, 'BEBIDA')]})"
94570,Coco Bambu Anália Franco,0,5,2019-11-1,2019-11-6,"Já fui outras vezes. Atendimento impecável, local aconchegante, comida de excelente qualidade e farta, boa carta de vinhos e variadas opções de bebidas.",Confraternização,Giovanna F,"('Já fui outras vezes. Atendimento impecável, local aconchegante, comida de excelente qualidade e farta, boa carta de vinhos e variadas opções de bebidas.', {'entities': [(44, 49, 'GERAL'), (64, 70, 'COMIDA'), (107, 122, 'BEBIDA'), (144, 151, 'BEBIDA'), (21, 32, 'SERVIÇO')]})"
157935,Coco Bambu Ribeirao Preto,0,5,2020-12-1,2020-12-14,"Estava tudo muito gostoso! Fomos muito bem atendidos pelo Leonardo! Tanto hoje quanto no dia 24/11, que fomos, nas duas vezes ele prestou o melhor atendimento, foi muito educado, atencioso!",Aniversário,j_liac987,"('Estava tudo muito gostoso! Fomos muito bem atendidos pelo Leonardo! Tanto hoje quanto no dia 24/11, que fomos, nas duas vezes ele prestou o melhor atendimento, foi muito educado, atencioso!', {'entities': [(58, 66, 'SERVIÇO'), (147, 158, 'SERVIÇO')]})"
3795,Coco Bambu Anália Franco,0,5,2019-4-1,2019-4-10,"Fomos atendidos pelo atendente Henrique Silva, adoramos o ambiente, música ao vivo agradável.. Prato camarão de Olinda impecável",Jantar,Jessica S,"('Fomos atendidos pelo atendente Henrique Silva, adoramos o ambiente, música ao vivo agradável.. Prato camarão de Olinda impecável', {'entities': [(58, 66, 'AMBIENTE'), (68, 82, 'AMBIENTE'), (95, 118, 'COMIDA'), (21, 45, 'SERVIÇO')]})"
181456,Coco Bambu Lago Sul,0,4,2020-2-1,2020-2-26,estive no local para comemorar o niver de uma amiga! Garçom Kelvin muito atencioso. Comida sempre ótima!,estive no local para comemorar,d_boraa722,"('estive no local para comemorar o niver de uma amiga! Garçom Kelvin muito atencioso. Comida sempre ótima!', {'entities': [(10, 15, 'GERAL'), (84, 90, 'COMIDA'), (53, 66, 'SERVIÇO')]})"
78985,Coco Bambu Meireles,0,5,2017-9-1,2017-9-15,Silvia Sérgio e bandeira espaço  muito aconchegante parquinho atendimento  de Silvia Sérgio Bandeira excelente amamos tudo super indico,Jantar,Tatiane R,"('Silvia Sérgio e bandeira espaço  muito aconchegante parquinho atendimento  de Silvia Sérgio Bandeira excelente amamos tudo super indico', {'entities': [(25, 31, 'AMBIENTE'), (52, 61, 'AMBIENTE'), (0, 6, 'SERVIÇO'), (7, 13, 'SERVIÇO'), (16, 24, 'SERVIÇO'), (62, 73, 'SERVIÇO'), (78, 84, 'SERVIÇO'), (85, 91, 'SERVIÇO'), (92, 100, 'SERVIÇO')]})"
21990,Coco Bambu São Luís,0,5,2018-3-1,2018-3-17,Bem servido o prato a parmegiana finalizado com uma sobremesa de maçã dos deuses e o atendimento bem cordial do João Neto,Companhia da família ,Miccarreira,"('Bem servido o prato a parmegiana finalizado com uma sobremesa de maçã dos deuses e o atendimento bem cordial do João Neto', {'entities': [(14, 19, 'COMIDA'), (22, 32, 'COMIDA'), (52, 61, 'COMIDA'), (65, 80, 'COMIDA'), (85, 96, 'SERVIÇO'), (112, 121, 'SERVIÇO')]})"
172517,Coco Bambu,0,5,2022-4-1,2022-4-30,"Ambiente muito agradável, pratos muito saborosos e bem elaborados, fomos atendidos pelo Márcio, atendimento impecável muito educado e solicito.",Excelente experiência!,W5672AQvictors,"('Ambiente muito agradável, pratos muito saborosos e bem elaborados, fomos atendidos pelo Márcio, atendimento impecável muito educado e solicito.', {'entities': [(0, 8, 'AMBIENTE'), (26, 32, 'COMIDA'), (88, 94, 'SERVIÇO'), (96, 107, 'SERVIÇO')]})"
98990,Coco Bambu Lago Sul,0,5,2019-5-1,2019-5-21,"Nota 1000. Atendimento ótimo, degustamos o delicioso camarão internacional para 4 pessoas,na verdade daria pra 6,pois a porção é grande,sem falar nos coquetéis, pinacolada,moscou mole divinos,e mais divino ainda é a vista da varanda para o lago.",Maravilhoso,AninhaN38,"('Nota 1000. Atendimento ótimo, degustamos o delicioso camarão internacional para 4 pessoas,na verdade daria pra 6,pois a porção é grande,sem falar nos coquetéis, pinacolada,moscou mole divinos,e mais divino ainda é a vista da varanda para o lago.', {'entities': [(216, 221, 'AMBIENTE'), (53, 74, 'COMIDA'), (120, 126, 'COMIDA'), (150, 159, 'BEBIDA'), (161, 171, 'BEBIDA'), (172, 183, 'BEBIDA'), (11, 22, 'SERVIÇO')]})"
23802,Coco Bambu Recife,0,5,2019-11-1,2019-11-5,"Ambiente aconchegante. Atendimento do Janes top. Sérgio avaliador tbm.............. Voltaremos para saborear outras opções, desse delicioso cardápio.",21 anos de casamento,573andrezap,"('Ambiente aconchegante. Atendimento do Janes top. Sérgio avaliador tbm.............. Voltaremos para saborear outras opções, desse delicioso cardápio.', {'entities': [(0, 8, 'AMBIENTE'), (140, 148, 'COMIDA'), (23, 34, 'SERVIÇO'), (38, 43, 'SERVIÇO')]})"
82384,Coco Bambu Flamboyant,0,5,2018-9-1,2018-9-8,"Muito bom sempre! Comida, ambiente e atendimento sempre impecável !!! Messias meu parceiro muito obrigada por sempre nos atender bem! 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾",Muito bom!,193taynahs,"('Muito bom sempre! Comida, ambiente e atendimento sempre impecável !!! Messias meu parceiro muito obrigada por sempre nos atender bem! 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾', {'entities': [(26, 34, 'AMBIENTE'), (18, 24, 'COMIDA'), (37, 48, 'SERVIÇO'), (70, 77, 'SERVIÇO')]})"
187697,Coco Bambu Lago Sul,1,4,2016-6-1,2016-7-2,"Estivemos em um almoço de confraternização no salão reservado, degustamos um dos menus preparados para essas ocasiões com 3 pratos principais (carne seca, camarão e peixe) após uma entrada. TODOS os pratos estavam deliciosos. É a cocada de sobremesa foi repetida 4x. Sensacional. Atendimento foi...Mais",O melhor,RoKa15,"('Estivemos em um almoço de confraternização no salão reservado, degustamos um dos menus preparados para essas ocasiões com 3 pratos principais (carne seca, camarão e peixe) após uma entrada. TODOS os pratos estavam deliciosos. É a cocada de sobremesa foi repetida 4x. Sensacional. Atendimento foi...Mais', {'entities': [(81, 86, 'COMIDA'), (124, 141, 'COMIDA'), (143, 153, 'COMIDA'), (155, 162, 'COMIDA'), (165, 170, 'COMIDA'), (181, 188, 'COMIDA'), (199, 205, 'COMIDA'), (230, 236, 'COMIDA'), (240, 249, 'COMIDA'), (280, 291, 'SERVIÇO')]})"
94510,Coco Bambu Ribeirao Preto,0,5,2015-1-1,2015-1-19,"Recém-inaugurado em Ribeirão Preto, já se mostra uma excelente opção gastronômica. O cardápio é gigante, o serviço é rápido e bem agradável. Os preços, embora salgados, são compensados pelo tamanho generoso das porções, que permitem dividir o prato em 3 ou 4 pessoas ou levar...Mais",Chegou chegando,Caio P,"('Recém-inaugurado em Ribeirão Preto, já se mostra uma excelente opção gastronômica. O cardápio é gigante, o serviço é rápido e bem agradável. Os preços, embora salgados, são compensados pelo tamanho generoso das porções, que permitem dividir o prato em 3 ou 4 pessoas ou levar...Mais', {'entities': [(85, 93, 'COMIDA'), (211, 218, 'COMIDA'), (107, 114, 'SERVIÇO'), (144, 150, 'PREÇO'), (20, 34, 'LOCALIZAÇÃO')]})"
87630,Coco Bambu Floripa,0,5,2021-5-1,2021-5-1,"Segunda vez que almoçamos no Coco Bambu, e por nossa sorte atendidos novamente pelo Douglas, muito atencioso e cordial, que me encantou me levando pra conhecer a cozinha. A cozinha é super organizada, limpa e profissionais bem uniformizados. Minha formação  em Gastronomia então fiquei encantada...Mais",Almoço #Carol,sirleis2017,"('Segunda vez que almoçamos no Coco Bambu, e por nossa sorte atendidos novamente pelo Douglas, muito atencioso e cordial, que me encantou me levando pra conhecer a cozinha. A cozinha é super organizada, limpa e profissionais bem uniformizados. Minha formação  em Gastronomia então fiquei encantada...Mais', {'entities': [(162, 169, 'AMBIENTE'), (173, 180, 'AMBIENTE'), (29, 39, 'GERAL'), (84, 91, 'SERVIÇO'), (209, 222, 'SERVIÇO')]})"
169989,Coco Bambu,0,5,2019-6-1,2019-6-7,"Excelente atendimento de todos os funcionários. O Douglas, responsável pela nossa mesa e foi muito atencioso. O prato estava uma delícia! Ótimo custo beneficio, super recomendo!",Ótimo atendimento!,jumarionc,"('Excelente atendimento de todos os funcionários. O Douglas, responsável pela nossa mesa e foi muito atencioso. O prato estava uma delícia! Ótimo custo beneficio, super recomendo!', {'entities': [(112, 117, 'COMIDA'), (10, 21, 'SERVIÇO'), (50, 57, 'SERVIÇO'), (144, 159, 'PREÇO')]})"
105222,Coco Bambu - Dom Pastel,0,4,2017-9-1,2017-9-21,"Fui atendida pelo garçom Eduardo, atencioso, apesar de ter pedido de entrada uma lula a dore e veio metade da porção o Eduardo soube contornar a situação sendo sempre cordial.",Atendimento!,zilcabral,"('Fui atendida pelo garçom Eduardo, atencioso, apesar de ter pedido de entrada uma lula a dore e veio metade da porção o Eduardo soube contornar a situação sendo sempre cordial.', {'entities': [(69, 76, 'COMIDA'), (81, 92, 'COMIDA'), (110, 116, 'COMIDA'), (18, 32, 'SERVIÇO'), (119, 126, 'SERVIÇO')]})"
