Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations
28201,Coco Bambu Brasília Shopping,0,5,2018-8-1,2018-8-6,Restaurante maravilhoso com atendimento do João Francisco excelente! Comida boa e música de qualidade.,Aniversário,marcelo g,"('Restaurante maravilhoso com atendimento do João Francisco excelente! Comida boa e música de qualidade.', {'entities': [(82, 88, 'AMBIENTE'), (0, 11, 'GERAL'), (69, 75, 'COMIDA'), (28, 39, 'SERVIÇO'), (43, 57, 'SERVIÇO')]})"
108141,Coco Bambu Market Place,0,4,2017-2-1,2017-3-6,"Restaurante muito bom para comer camarão, O prato dá bem para o número de pessoas indicadas, porém havíamos ido a este restaurante no dia primeiro de janeiro e voltamos agora no sábado de Carnaval para jantar e nos surpreendeu o aumento nos preços - na...Mais",Boa opção,ReginaAugusta,"('Restaurante muito bom para comer camarão, O prato dá bem para o número de pessoas indicadas, porém havíamos ido a este restaurante no dia primeiro de janeiro e voltamos agora no sábado de Carnaval para jantar e nos surpreendeu o aumento nos preços - na...Mais', {'entities': [(0, 11, 'GERAL'), (119, 130, 'GERAL'), (33, 40, 'COMIDA'), (44, 49, 'COMIDA'), (241, 247, 'PREÇO')]})"
82168,Coco Bambu Lago Sul,0,5,2019-10-1,2019-10-14,"Excelente atendimento. Todos os profissionais, com quem tivemos contato,nos atenderam muito bem. Preocuparam-se com cada detalhe. Até o suco que meu filho derramou na roupa eles limparam, o próprio maitre o fez.",Almoço em família,Kadualencarofficial,"('Excelente atendimento. Todos os profissionais, com quem tivemos contato,nos atenderam muito bem. Preocuparam-se com cada detalhe. Até o suco que meu filho derramou na roupa eles limparam, o próprio maitre o fez.', {'entities': [(136, 140, 'BEBIDA'), (10, 21, 'SERVIÇO'), (198, 204, 'SERVIÇO')]})"
2792,Coco Bambu - Dom Pastel,1,5,2019-7-1,2019-7-2,"Ambiente bastante agradável, fomos bem recepcionados e atendidos pelo garçom Eduardo.  Comida excelente.",Jantar de aniversário,beatrizbraga008,"('Ambiente bastante agradável, fomos bem recepcionados e atendidos pelo garçom Eduardo.  Comida excelente.', {'entities': [(0, 8, 'AMBIENTE'), (87, 93, 'COMIDA'), (39, 52, 'SERVIÇO'), (70, 84, 'SERVIÇO')]})"
88690,Coco Bambu JK,2,5,2020-1-1,2020-1-12,"Gostamos muito do prato pedido: Camarão Coco Bambu a sugestão do vinho excelente  Sumelie Tiago nós atendeu muito bem, nota 10",Casal,42rosanal,"('Gostamos muito do prato pedido: Camarão Coco Bambu a sugestão do vinho excelente  Sumelie Tiago nós atendeu muito bem, nota 10', {'entities': [(18, 23, 'COMIDA'), (32, 50, 'COMIDA'), (65, 70, 'BEBIDA'), (82, 95, 'SERVIÇO')]})"
40841,Coco Bambu JK,0,3,2018-6-1,2018-8-7,"Restaurante espaçoso, extremamente barulhento com muitas famílias. A comida é honesta, não espetacular. Garçons um pouco confusos. Ambiente escuro para o tipo de frequentadores.","Muito barulho, comida razoavel",soniabB6069OG,"('Restaurante espaçoso, extremamente barulhento com muitas famílias. A comida é honesta, não espetacular. Garçons um pouco confusos. Ambiente escuro para o tipo de frequentadores.', {'entities': [(131, 139, 'AMBIENTE'), (0, 11, 'GERAL'), (69, 75, 'COMIDA'), (104, 111, 'SERVIÇO')]})"
123350,Coco Bambu Frutos do Mar,1,5,2014-3-1,2014-11-15,"Diante da variedade de pratos, foi difícil escolher o prato com camarão. Além de delicioso, a aparência aumentava mais a expectativa de apreciar aquela arte. Como sobremesa, lá encontrava-se o melhor ""pudim do mundo"", que realmente estava delicioso. Recomendo",Delícia de camarão,Esly S,"('Diante da variedade de pratos, foi difícil escolher o prato com camarão. Além de delicioso, a aparência aumentava mais a expectativa de apreciar aquela arte. Como sobremesa, lá encontrava-se o melhor ""pudim do mundo"", que realmente estava delicioso. Recomendo', {'entities': [(23, 29, 'COMIDA'), (54, 71, 'COMIDA'), (163, 172, 'COMIDA'), (201, 206, 'COMIDA')]})"
125475,Coco Bambu Frutos do Mar,0,5,2016-11-1,2016-11-19,Excelente comida e atendimento! Melhor camarão da cidade. Vale a pena repetir a estadia no melhor restaurante da cidade.,Almoço ,thomasyuri,"('Excelente comida e atendimento! Melhor camarão da cidade. Vale a pena repetir a estadia no melhor restaurante da cidade.', {'entities': [(98, 109, 'GERAL'), (10, 16, 'COMIDA'), (39, 46, 'COMIDA'), (19, 30, 'SERVIÇO')]})"
171389,Coco Bambu Meireles,1,5,2018-1-1,2018-1-19,"Camarão internacional: prato muito bem servido é delicioso! O ambiente dispensa comentários e o atendimento sempre impecável! João Paulo, Abraão, Felipe e Gabriel.",Almoço com os miglos ,Yêda B,"('Camarão internacional: prato muito bem servido é delicioso! O ambiente dispensa comentários e o atendimento sempre impecável! João Paulo, Abraão, Felipe e Gabriel.', {'entities': [(62, 70, 'AMBIENTE'), (0, 21, 'COMIDA'), (23, 28, 'COMIDA'), (96, 107, 'SERVIÇO'), (126, 136, 'SERVIÇO'), (138, 144, 'SERVIÇO'), (146, 152, 'SERVIÇO'), (155, 162, 'SERVIÇO')]})"
161514,Coco Bambu Meireles,0,5,2014-11-1,2015-1-21,"Os pratos são muito bem apresentados e em boa quantidade de comida, podendo satisfazer de 2 a 3 pessoas. A qualidade é excelente. Recomendo",gostoso e bem servido,ChrisBonazzi,"('Os pratos são muito bem apresentados e em boa quantidade de comida, podendo satisfazer de 2 a 3 pessoas. A qualidade é excelente. Recomendo', {'entities': [(3, 9, 'COMIDA'), (60, 66, 'COMIDA')]})"
165595,Coco Bambu Sul Restaurante,0,5,2017-11-1,2017-11-17,"Fui atendida pelo guilherme, ótimo atendimento e camarão internacional maravilhoso. Camarão veio bem rápido.",Visita ao coco bambu ,vivianmariass,"('Fui atendida pelo guilherme, ótimo atendimento e camarão internacional maravilhoso. Camarão veio bem rápido.', {'entities': [(49, 70, 'COMIDA'), (84, 91, 'COMIDA'), (18, 27, 'SERVIÇO'), (35, 46, 'SERVIÇO')]})"
4772,Coco Bambu Bahia,0,5,2018-10-1,2018-10-18,"Comida muuuito saborosa, cerveja geladíssima, atendimento rápido e eficiciente. Tudo para deixar a sexta-feira animada!",Só elogios,Amanda G,"('Comida muuuito saborosa, cerveja geladíssima, atendimento rápido e eficiciente. Tudo para deixar a sexta-feira animada!', {'entities': [(0, 6, 'COMIDA'), (25, 32, 'BEBIDA'), (46, 57, 'SERVIÇO')]})"
120156,Coco Bambu Market Place,1,5,2020-1-1,2020-1-13,Matheus Carvalho e Mazinho nos atenderam muito bem. Nos sentimos acolhidos. E a comida estava ótima e num preço justo,Almoço,adilsont179,"('Matheus Carvalho e Mazinho nos atenderam muito bem. Nos sentimos acolhidos. E a comida estava ótima e num preço justo', {'entities': [(80, 86, 'COMIDA'), (0, 16, 'SERVIÇO'), (19, 26, 'SERVIÇO'), (106, 111, 'PREÇO')]})"
122104,Coco Bambu Sul Restaurante,0,5,2014-4-1,2014-4-30,"Cada vinda ao Cocobambu é mais uma oportunidade para desfrutar de excelentes pratos, com bom atendimento. Começamos com pastel de bacalhau e lulas de entrada, com cerveja estupidamente gelada. No almoço, lombo de bacalhau ao forno para 02 pessoas. Tivemos uma falha que comentei com...Mais",Excelente!,WalfredoDantas,"('Cada vinda ao Cocobambu é mais uma oportunidade para desfrutar de excelentes pratos, com bom atendimento. Começamos com pastel de bacalhau e lulas de entrada, com cerveja estupidamente gelada. No almoço, lombo de bacalhau ao forno para 02 pessoas. Tivemos uma falha que comentei com...Mais', {'entities': [(14, 23, 'GERAL'), (77, 83, 'COMIDA'), (120, 146, 'COMIDA'), (204, 230, 'COMIDA'), (163, 170, 'BEBIDA'), (93, 104, 'SERVIÇO')]})"
45837,Coco Bambu Recife,1,5,2018-7-1,2018-7-19,"Local com fina arquitetura e música agradável. Ambiente agradabilíssimo. Pedimos lagosta, que estava maravilhosa. No tocante ao atendimento, realizado pelo garçons Edimilson e seu auxiliar Eduardo, foi com nível de excelência: atenciosos, educados e risonhos. Noite maravilhosa. Aconselho a todos virem.",Imperdível! Excelente prato e atendimento,Daniela C,"('Local com fina arquitetura e música agradável. Ambiente agradabilíssimo. Pedimos lagosta, que estava maravilhosa. No tocante ao atendimento, realizado pelo garçons Edimilson e seu auxiliar Eduardo, foi com nível de excelência: atenciosos, educados e risonhos. Noite maravilhosa. Aconselho a todos virem.', {'entities': [(15, 26, 'AMBIENTE'), (29, 35, 'AMBIENTE'), (47, 55, 'AMBIENTE'), (0, 5, 'GERAL'), (81, 88, 'COMIDA'), (128, 139, 'SERVIÇO'), (156, 173, 'SERVIÇO'), (189, 196, 'SERVIÇO')]})"
